part_name,type,x_extent,y_extent,start_pad,end_pad,color,hatch,arrowhead_height,arrowhead_length,linestyle,linewidth
pBM3R1,Promoter,,,,,0.93;0.18;0.17,,,,,
HlyIIR,CDS,,,,,0.56;0.78;0.24,,,,,
RiboJ10,Ribozyme,,,,,0.00;0.41;0.22,,,,,
B3,RBS,,,,,0.93;0.18;0.17,,,,,
pTac,Promoter,,,,,0.00;0.00;0.00,,,,,
SarJ,Ribozyme,,,,,0.93;0.18;0.17,,,,,
P3,RBS,,,,,0.98;0.64;0.15,,,,,
L3S2P11,Terminator,,,,,0.93;0.18;0.17,,,,,
pHlyIIR,Promoter,,,,,0.56;0.78;0.24,,,,,
S4,RBS,,,,,0.00;0.41;0.22,,,,,
YFP,CDS,,,,,1;1;1,//////////,,,,
SrpR,CDS,,,,,0.00;0.41;0.22,,,,,
pPhlF,Promoter,,,,,0.98;0.64;0.15,,,,,
H1,RBS,,,,,0.56;0.78;0.24,,,,,
pBAD,Promoter,,,,,0.00;0.00;0.00,,,,,
pSrpR,Promoter,,,,,0.00;0.41;0.22,,,,,
ECK120029600,Terminator,,,,,0.00;0.41;0.22,,,,,
pTet,Promoter,,,,,0.00;0.00;0.00,,,,,
PhlF,CDS,,,,,0.98;0.64;0.15,,,,,
RiboJ53,Ribozyme,,,,,0.98;0.64;0.15,,,,,
BM3R1,CDS,,,,,0.93;0.18;0.17,,,,,
ECK120033736,Terminator,,,,,0.56;0.78;0.24,,,,,
ECK120033737,Terminator,,,,,0.98;0.64;0.15,,,,,
RiboJ51,Ribozyme,,,,,0.56;0.78;0.24,,,,,
